protocol,dataset,strict,variant,seed,mse,mae,n,apn_seed_mse,relative_mse_gain_vs_apn
release_parity,P12,false,APN,2027,0.3128716209204194,0.3643464677955751,23580,0.3128716209204194,0
release_parity,P12,false,APN,2028,0.3134649211813736,0.3663151882611105,23580,0.3134649211813736,0
release_parity,P12,false,SLRH,2024,0.3110703653869026,0.363568013177592,23580,0.3129221012857466,0.005917561882767421
release_parity,P12,false,SLRH,2025,0.3103349457779471,0.36305710271764985,23580,0.31201061148318127,0.005370540755869348
release_parity,P12,false,SLRH,2026,0.310743976462706,0.3633337265865594,23580,0.312060864643445,0.004219972223186806
release_parity,P12,false,SLRH,2027,0.3127724541056783,0.3642170562110078,23580,0.3128716209204194,0.00031695688618038934
release_parity,P12,false,SLRH,2028,0.3125005965705583,0.36500604620091087,23580,0.3134649211813736,0.0030763397932406507
release_parity,P12,false,CFG,2024,0.3114755638202711,0.3650041309959642,23580,0.3129221012857466,0.004622675929670442
release_parity,P12,false,CFG,2025,0.31020185120674026,0.36361696459093207,23580,0.31201061148318127,0.005797111411829343
release_parity,P12,false,CFG,2026,0.3097761136837164,0.36423777929990486,23580,0.312060864643445,0.007321491473591686
release_parity,P12,false,CFG,2027,0.3114763874267658,0.36416566625024355,23580,0.3128716209204194,0.004459444067023576
release_parity,P12,false,CFG,2028,0.31186306200840463,0.3657241029957741,23580,0.3134649211813736,0.0051101704360792125
release_parity,P12,false,Full,2024,0.3100443769324136,0.3636534555895771,23580,0.3129221012857466,0.009196296271528579
release_parity,P12,false,Full,2025,0.30886522704490815,0.36294175657893224,23580,0.31201061148318127,0.010081017511940177
release_parity,P12,false,Full,2026,0.30900548785517507,0.36302199455122774,23580,0.312060864643445,0.00979096430999435
release_parity,P12,false,Full,2027,0.31145306887239477,0.364154423079385,23580,0.3128716209204194,0.004533974810024312
release_parity,P12,false,Full,2028,0.3110989908547572,0.3648544424605803,23580,0.3134649211813736,0.00754767173851478
strict_p12,P12,true,APN,2024,0.29312168596259086,0.3569702372359594,23912,0.29312168596259086,0
strict_p12,P12,true,APN,2025,0.2932033290976912,0.3573782610236462,23912,0.2932033290976912,0
strict_p12,P12,true,APN,2026,0.2937351275766461,0.35759053629668947,23912,0.2937351275766461,0
strict_p12,P12,true,APN,2027,0.292523045696777,0.3561567004611428,23912,0.292523045696777,0
strict_p12,P12,true,APN,2028,0.2928513453640873,0.35728053298763707,23912,0.2928513453640873,0
strict_p12,P12,true,SLRH,2024,0.292803992172141,0.35559451894302757,23912,0.29312168596259086,0.0010838290227711952
strict_p12,P12,true,SLRH,2025,0.2919965902857228,0.355139070195977,23912,0.2932033290976912,0.004115706379194465
strict_p12,P12,true,SLRH,2026,0.29373326437648695,0.35583276102842615,23912,0.2937351275766461,0.0000063431302021297624
strict_p12,P12,true,SLRH,2027,0.2920442168184773,0.35470766783438273,23912,0.292523045696777,0.0016368928374827637
strict_p12,P12,true,SLRH,2028,0.2920385407664884,0.35486144855570706,23912,0.2928513453640873,0.002775485277653057
strict_p12,P12,true,CFG,2024,0.29147038083601035,0.3555999991476067,23912,0.29312168596259086,0.005633514017080472
strict_p12,P12,true,CFG,2025,0.29149833107118417,0.35529172401932163,23912,0.2932033290976912,0.005815070489663338
strict_p12,P12,true,CFG,2026,0.2921320683806033,0.3558182255025546,23912,0.2937351275766461,0.005457499105633918
strict_p12,P12,true,CFG,2027,0.2908558193570092,0.35460047431669894,23912,0.292523045696777,0.005699470056441302
strict_p12,P12,true,CFG,2028,0.2908830128792096,0.35480216239799567,23912,0.2928513453640873,0.006721268370580924
strict_p12,P12,true,Full,2024,0.2909573958947821,0.35432582025216297,23912,0.29312168596259086,0.007383589039826229
strict_p12,P12,true,Full,2025,0.2902221193241953,0.3538339728409931,23912,0.2932033290976912,0.010167721433008087
