protocol,dataset,reference,metric,full_point,reference_point,effect_full_minus_reference,effect_ci_low,effect_ci_high,relative_gain,relative_gain_ci_low,relative_gain_ci_high,relative_loss_full_vs_reference,relative_loss_ci_low,relative_loss_ci_high,p_full_not_better,holm_adjusted_p,holm_family,resamples
strict_p12,P12,V11,mse,0.2906771950376615,0.2925535720779543,-0.0018763770402928093,-0.0025840627482668077,-0.0012010203311582479,0.006413789539349145,0.004113559503094161,0.00877920658437942,-0.006413789539349145,-0.00877920658437942,-0.004113559503094161,0.00001999960000799984,0.0003999920001599968,secondary,50000
strict_p12,P12,V11,mae,0.35394053406715775,0.35524754035734346,-0.0013070062901857082,-0.0017926979760852807,-0.0008241254759007791,0.0036791424055209244,0.00232333765470235,0.005042530644954218,-0.0036791424055209244,-0.005042530644954218,-0.00232333765470235,0.00001999960000799984,,,50000
strict_p12,P12,V12,mse,0.2906771950376615,0.29326666571432414,-0.002589470676662653,-0.00422685608503431,-0.0009390507468389538,0.008829747732683328,0.0032167113266186095,0.014294165655107001,-0.008829747732683328,-0.014294165655107001,-0.0032167113266186095,0.0012399752004959902,0.022319553608927824,secondary,50000
strict_p12,P12,V12,mae,0.35394053406715775,0.35671846461284634,-0.0027779305456885894,-0.0036783146397397354,-0.001855761842547343,0.007787459358750977,0.005201590982295939,0.010309880084096178,-0.007787459358750977,-0.010309880084096178,-0.005201590982295939,0.00001999960000799984,,,50000
strict_ushcn,USHCN,APN,mse,0.44526786044598765,0.18138673046814424,0.2638811299778434,-0.0020052792811140994,1.0961221807140173,-1.4547984259751963,-5.783737671194555,0.0110772465660422,1.4547984259751963,-0.0110772465660422,5.783737671194555,0.9665006699866002,0.9665006699866002,primary,50000
strict_ushcn,USHCN,APN,mae,0.3151621880005183,0.2762908484381826,0.03887133956233574,0.0009330280762465934,0.1016021048960316,-0.14068992795840948,-0.36072537699599716,-0.00337648407830037,0.14068992795840948,0.00337648407830037,0.36072537699599716,0.9787804243915121,,,50000
strict_ushcn,USHCN,CFG,mse,0.44526786044598765,0.23429547380114873,0.21097238664483892,-0.0197098660749959,1.0172875196208992,-0.9004543844662377,-3.5777726800763663,0.10108872078274289,0.9004543844662377,-0.10108872078274289,3.5777726800763663,0.8190836183276334,1,secondary,50000
strict_ushcn,USHCN,CFG,mae,0.3151621880005183,0.31630099916501025,-0.0011388111644919374,-0.02850875241105603,0.04660304535659729,0.0036004033104487096,-0.13870856820203212,0.09361028828106627,-0.0036004033104487096,-0.09361028828106627,0.13870856820203212,0.39407211855762886,,,50000
strict_ushcn,USHCN,SLRH,mse,0.44526786044598765,0.40017668945762297,0.04509117098836468,0.00040210919225594114,0.13371150555042763,-0.11267815486573875,-0.3623068936617052,-0.0019527703900049445,0.11267815486573875,0.0019527703900049445,0.3623068936617052,0.9768404631907361,1,secondary,50000
strict_ushcn,USHCN,SLRH,mae,0.3151621880005183,0.30501584508736257,0.010146342913155748,-0.0029985123137562936,0.028936283058875117,-0.03326496992393833,-0.09243234207093061,0.00962956907443161,0.03326496992393833,-0.00962956907443161,0.09243234207093061,0.9232415351692966,,,50000
strict_ushcn,USHCN,V01,mse,0.44526786044598765,0.1851042327442605,0.2601636277017272,-0.00436434463580847,1.095490922831805,-1.4054979934530647,-5.768888177320408,0.023428637251318475,1.4054979934530647,-0.023428637251318475,5.768888177320408,0.9556808863822723,1,secondary,50000
strict_ushcn,USHCN,V01,mae,0.3151621880005183,0.30055162634135224,0.014610561659166077,-0.023961706614687057,0.07809077386636207,-0.04861248577165274,-0.25243049383839716,0.08109271435869751,0.04861248577165274,-0.08109271435869751,0.25243049383839716,0.6805063898722026,,,50000
strict_ushcn,USHCN,V02,mse,0.44526786044598765,0.22515958677334813,0.22010827367263952,-0.004059282411067704,0.9259886102076764,-0.9775656316788616,-2.5960102429089207,0.0221053914006413,0.9775656316788616,-0.0221053914006413,2.5960102429089207,0.9549209015819684,1,secondary,50000
strict_ushcn,USHCN,V02,mae,0.3151621880005183,0.29571181672239144,0.019450371278126877,-0.006912412793839167,0.0589794428571399,-0.06577475155951076,-0.18374258773952323,0.02407736553355813,0.06577475155951076,-0.02407736553355813,0.18374258773952323,0.9002019959600808,,,50000
strict_ushcn,USHCN,V03,mse,0.44526786044598765,0.18686696912054349,0.2584008913254442,-0.0043232402437384165,1.0952750001374698,-1.3828066701224007,-5.696018049317931,0.023508346775822093,1.3828066701224007,-0.023508346775822093,5.696018049317931,0.9578008439831204,1,secondary,50000
strict_ushcn,USHCN,V03,mae,0.3151621880005183,0.28120888288983187,0.03395330511068645,-0.002742862808667284,0.09487199047083367,-0.12074051417496724,-0.3276937626999362,0.009607542264828732,0.12074051417496724,-0.009607542264828732,0.3276937626999362,0.9598208035839283,,,50000
strict_ushcn,USHCN,V07,mse,0.44526786044598765,0.4221401887823361,0.02312767166365154,-0.00933634322822868,0.10316390664016142,-0.05478670896121816,-0.0943882659165281,0.04997612913735501,0.05478670896121816,-0.04997612913735501,0.0943882659165281,0.8078438431231375,1,secondary,50000
strict_ushcn,USHCN,V07,mae,0.3151621880005183,0.3260451399756379,-0.01088295197511957,-0.023678016642209906,-0.00007107117621578743,0.03337866645070295,0.00021687986216070246,0.06936380097834637,-0.03337866645070295,-0.06936380097834637,-0.00021687986216070246,0.024119517609647808,,,50000
strict_ushcn,USHCN,V08,mse,0.44526786044598765,0.41017110173591154,0.035096758710076115,-0.000818866786682589,0.17169096376437826,-0.08556614193818352,-0.14978430218459166,0.004433246950617612,0.08556614193818352,-0.004433246950617612,0.14978430218459166,0.9593808123837523,1,secondary,50000
strict_ushcn,USHCN,V08,mae,0.3151621880005183,0.3128101233720056,0.002352064628512729,-0.0029060193097157987,0.007569533755397861,-0.007519144851062141,-0.022813718556055015,0.00997639861278655,0.007519144851062141,-0.00997639861278655,0.022813718556055015,0.8141637167256655,,,50000
strict_ushcn,USHCN,V10,mse,0.44526786044598765,0.4288054809340643,0.016462379511923364,-0.0009435058941604465,0.057245785024890646,-0.03839125254664065,-0.05861439858329093,0.004616208897539387,0.03839125254664065,-0.004616208897539387,0.05861439858329093,0.9658206835863282,1,secondary,50000
strict_ushcn,USHCN,V10,mae,0.3151621880005183,0.3113968744931002,0.0037653135074181,-0.0025283273575188807,0.00943743965385247,-0.012091686898101894,-0.0314169984540032,0.007586822125802602,0.012091686898101894,-0.007586822125802602,0.0314169984540032,0.8938621227575448,,,50000
strict_ushcn,USHCN,V11,mse,0.44526786044598765,0.4094726114396881,0.035795249006299545,-0.005864346603641905,0.12164360566397102,-0.0874179322530144,-0.357640340677892,0.02568401157266556,0.0874179322530144,-0.02568401157266556,0.357640340677892,0.9429811403771925,1,secondary,50000
strict_ushcn,USHCN,V11,mae,0.3151621880005183,0.30938091074925306,0.00578127725126526,-0.013350996274934485,0.02729488112822997,-0.01868659975582937,-0.08858765848330036,0.0396042781879178,0.01868659975582937,-0.0396042781879178,0.08858765848330036,0.7201455970880583,,,50000
strict_ushcn,USHCN,V12,mse,0.44526786044598765,0.18949342783192913,0.2557744326140585,-0.009454709760719254,1.085374958244168,-1.349779966199763,-5.436366323718312,0.04964524408623088,1.349779966199763,-0.04964524408623088,5.436366323718312,0.9335613287734246,1,secondary,50000
strict_ushcn,USHCN,V12,mae,0.3151621880005183,0.30255601326352916,0.012606174736989162,-0.02643602500033013,0.07428083919360069,-0.04166558978951466,-0.2385152248429226,0.08843590891253932,0.04166558978951466,-0.08843590891253932,0.2385152248429226,0.6533669326613468,,,50000
