"dataset","seed","variant","n","mse","mae","mse_relative_gain_vs_apn","mae_relative_gain_vs_apn"
"intel_lab","2025","APN","198333","352.69934201491486","16.48898585711072","0.0","0.0"
"intel_lab","2025","Joint","198333","384.80514341485633","16.557946895205806","-0.09102881002421544","-0.00418224860477682"
"intel_lab","2025","Full","198333","385.0547192653553","16.556587058686393","-0.09173642645772838","-0.004099779219988894"
"intel_lab","2025","Safe","198333","352.69934201491486","16.48898585711072","0.0","0.0"
"intel_lab","2025","SafeNoBalance","198333","351.86519018731195","16.438313311602105","0.0023650507053331413","0.0030731147414237558"
"intel_lab","2025","SafeNoRobust","198333","350.63193921941246","16.41516518287107","0.005861657647818853","0.004476968740185685"
"intel_lab","2025","SafeNoBound","198333","351.29620570688195","16.46975050480954","0.0039782787799291595","0.001166557632341305"
"intel_lab","2025","SafeNoGate","198333","350.86362046069615","16.42803020178134","0.005204777371376778","0.0036967498096975695"
"intel_lab","2026","APN","198333","743.9623351967036","25.63399069182839","0.0","0.0"
"intel_lab","2026","Joint","198333","625.4786627756569","22.431949224768864","0.15926031038885818","0.12491388896697517"
"intel_lab","2026","Full","198333","694.2620501162046","23.878284155526078","0.06680484041891488","0.06849134640834512"
"intel_lab","2026","Safe","198333","743.9623351967036","25.63399069182839","0.0","0.0"
"intel_lab","2026","SafeNoBalance","198333","741.2970779443037","25.590825049844625","0.0035825163806111272","0.0016839220433019107"
"intel_lab","2026","SafeNoRobust","198333","742.5535235504207","25.641400614143656","0.001893659906735037","-0.0002890662793923533"
"intel_lab","2026","SafeNoBound","198333","737.9898916429095","25.553999631667278","0.008027884304405075","0.003120507498140455"
"intel_lab","2026","SafeNoGate","198333","741.3475820025205","25.615838802971613","0.0035146311452605382","0.0007081179467918138"
"intel_lab","2027","APN","198333","358.96574967488885","16.66920373838607","0.0","0.0"
"intel_lab","2027","Joint","198333","365.60935622468776","16.806933127137412","-0.01850763354391315","-0.008262505570927621"
"intel_lab","2027","Full","198333","365.5279510125015","16.804857816803537","-0.018280856442588034","-0.008138005902770319"
"intel_lab","2027","Safe","198333","358.96574967488885","16.66920373838607","0.0","0.0"
"intel_lab","2027","SafeNoBalance","198333","355.54037944390495","16.523471406248316","0.009542331640515062","0.008742609090688596"
"intel_lab","2027","SafeNoRobust","198333","355.51573925551554","16.54809585400947","0.00961097381156266","0.007265367097152339"
"intel_lab","2027","SafeNoBound","198333","357.1349073220801","16.411509974968308","0.005100326018476502","0.015459272528077739"
"intel_lab","2027","SafeNoGate","198333","355.51188094541214","16.55430734515433","0.00962172221891598","0.006892734352220654"
"intel_lab","2028","APN","198333","347.7090738987351","16.34994718289195","0.0","0.0"
"intel_lab","2028","Joint","198333","441.40023334819614","18.041270367901777","-0.2694527306950499","-0.10344517728959846"
"intel_lab","2028","Full","198333","463.6317751584223","18.22170737595458","-0.3333899226726763","-0.11448111557333834"
"intel_lab","2028","Safe","198333","347.7090738987351","16.34994718289195","0.0","0.0"
"intel_lab","2028","SafeNoBalance","198333","347.601139293703","16.312980182749527","0.00031041641744304713","0.002260985905881267"
"intel_lab","2028","SafeNoRobust","198333","346.5753330471279","16.306064744613046","0.003260601855726539","0.002683949849380558"
"intel_lab","2028","SafeNoBound","198333","361.6069381589316","16.51196345992538","-0.03996980609210116","-0.009909284428940474"
"intel_lab","2028","SafeNoGate","198333","347.8994094916397","16.343277256438405","-0.0005473989814831097","0.00040794788991874474"
